状況,じょうきょう,байдал нөхцөл байдал
理由,りゆう,шалтгаан
結果,けっか,үр дүн
場合,ばあい,тохиолдол
経験,けいけん,туршлага
関係,かんけい,холбоо хамаарал
注意,ちゅうい,анхаарал сэрэмж
約束,やくそく,амлалт
説明,せつめい,тайлбар
連絡,れんらく,холбогдох холбоо барих
準備,じゅんび,бэлтгэл
予定,よてい,төлөвлөгөө
確認,かくにん,баталгаажуулах шалгах
必要,ひつよう,шаардлагатай
大切,たいせつ,чухал
十分,じゅうぶん,хангалттай
安心,あんしん,санаа амрах
不安,ふあん,санаа зовох
失敗,しっぱい,алдаа бүтэлгүйтэл
成功,せいこう,амжилт
紹介,しょうかい,танилцуулга
参加,さんか,оролцох
出席,しゅっせき,ирц оролцоо
欠席,けっせき,ирээгүй байх
発表,はっぴょう,илтгэл танилцуулга
会議,かいぎ,хурал
相談,そうだん,зөвлөлдөх
意見,いけん,санал бодол
希望,きぼう,хүсэл найдвар
夢,ゆめ,зүүд мөрөөдөл
努力,どりょく,хичээл зүтгэл
習慣,しゅうかん,дадал заншил
生活,せいかつ,амьдрал амьдрах хэв маяг
習う,ならう,сурах
覚える,おぼえる,цээжлэх
忘れる,わすれる,мартах
考える,かんがえる,бодох
決める,きめる,шийдэх
選ぶ,えらぶ,сонгох
始める,はじめる,эхлэх
終わる,おわる,дуусах
続ける,つづける,үргэлжлүүлэх
変える,かえる,өөрчлөх
増える,ふえる,нэмэгдэх
減る,へる,бууруулах
進む,すすむ,урагшлах
戻る,もどる,буцах
通う,かよう,ирж очих (сургууль ажилд)
動く,うごく,хөдөлөх
止める,とめる,зогсоох
開く,ひらく,нээх
閉める,しめる,хаах
集める,あつめる,цуглуулах
決まる,きまる,шийдэгдэх
伝える,つたえる,дамжуулах
知らせる,しらせる,мэдэгдэх
残る,のこる,үлдэх
助ける,たすける,туслах
使う,つかう,ашиглах
経験する,けいけんする,туршлага хуримтлуулах
約束する,やくそくする,амлах
連絡する,れんらくする,холбоо барих
確認する,かくにんする,шалгах батлах
相談する,そうだんする,зөвлөлдөх
説明する,せつめいする,тайлбарлах
紹介する,しょうかいする,танилцуулах
発表する,はっぴょうする,илтгэх
参加する,さんかする,оролцох
出席する,しゅっせきする,оролцох
必要な,ひつような,шаардлагатай
便利な,べんりな,тохиромжтой
不便な,ふべんな,тохиромжгүй
安全な,あんぜんな,аюулгүй
危険な,きけんな,аюултай
自由な,じゆうな,чөлөөтэй
真面目な,まじめな,нухацтай шударга
丁寧な,ていねいな,эелдэг нямбай
簡単な,かんたんな,хялбар
複雑な,ふくざつな,ярвигтай
最近,さいきん,саяхан сүүлийн үед
特に,とくに,ялангуяа
必ず,かならず,заавал
まず,まず,эхлээд
ずっと,ずっと,урт хугацаанд үргэлж
だいたい,だいたい,ойролцоогоор
はっきり,はっきり,тодорхой
急に,きゅうに,гэнэт
特別に,とくべつに,онцгойгоор
非常に,ひじょうに,маш их
途中,とちゅう,явц дунд
以上,いじょう,түүнээс дээш
以下,いか,түүнээс доош
以内,いない,дотор (хугацаа хэмжээ)
以外,いがい,гадна бусад
将来,しょうらい,ирээдүй
昔,むかし,хуучин цагт
理由,りゆう,шалтгаан
結果,けっか,үр дүн
全然,ぜんぜん,бүрэн огтхон ч
特別,とくべつ,онцгой
